tokenized_tweet,lemmatized_tweets
"['indeed', 'here', 's', 'what', 'happened', 'the', 'rte', 'presenter', 'tried', 'twice', 'to', 'downplay', 'the', 'government', 's', 'abysmal', 'housing', 'delivery', 'numbers', 'and', 'tried', 'multiple', 'times', 'to', 'link', 'sinn', 'fein', 'with', 'criminality', 'eobroin', 'was', 'on', 'form', 'and', 'dealt', 'with', 'it', 'deftly', 'impartial', 'broadcasting', 'not']","[ 'indeed ' , 'here ' , 's ' , 'what ' , 'happened ' , 'the ' , 'rte ' , 'presenter ' , 'tried ' , 'twice ' , 'to ' , 'downplay ' , 'the ' , 'government ' , 's ' , 'abysmal ' , 'housing ' , 'delivery ' , 'numbers ' , 'and ' , 'tried ' , 'multiple ' , 'times ' , 'to ' , 'link ' , 'sinn ' , 'fein ' , 'with ' , 'criminality ' , 'eobroin ' , 'was ' , 'on ' , 'form ' , 'and ' , 'dealt ' , 'with ' , 'it ' , 'deftly ' , 'impartial ' , 'broadcasting ' , 'not ' ]"
"['oh', 'my', 'god', 'this', 'guy', 'is', 'a', 'villain']","[ 'oh ' , 'my ' , 'god ' , 'this ' , 'guy ' , 'is ' , ' a ' , 'villain ' ]"
"['opposition', 'parties', 'lining', 'up', 'today', 'to', 'say', 'they', 're', 'very', 'sceptical', 'about', 'release', 'of', '2022', 'public', 'housing', 'figures', 'in', 'which', 'several', 'major', 'targets', 'were', 'missed', 'when', 'newsrooms', 'eyes', 'were', 'focussed', 'on', 'the', 'ccj']","[ 'opposition ' , 'parties ' , 'lining ' , 'up ' , 'today ' , 'to ' , 'say ' , 'they ' , 're ' , 'very ' , 'sceptical ' , 'about ' , 'release ' , 'of ' , '2022 ' , 'public ' , 'housing ' , 'figures ' , 'in ' , 'which ' , 'several ' , 'major ' , 'targets ' , 'were ' , 'missed ' , 'when ' , 'newsrooms ' , 'eyes ' , 'were ' , 'focussed ' , 'on ' , 'the ' , 'ccj ' ]"
"['former', 'president', 'of', 'ireland', 'mary', 'robinson', 'talking', 'about', 'the', 'need', 'to', 'focus', 'on', 'the', 'implementation', 'part', 'of', 'agreements', 'agreement25', 'communities', 'suffering', 'housing', 'health', 'cost', 'of', 'living', 'crisis', 'need', 'more', 'than', 'the', 'words', 'now']","[ 'former ' , 'president ' , 'of ' , 'ireland ' , 'mary ' , 'robinson ' , 'talking ' , 'about ' , 'the ' , 'need ' , 'to ' , 'focus ' , 'on ' , 'the ' , 'implementation ' , 'part ' , 'of ' , 'agreements ' , 'agreement25 ' , 'communities ' , 'suffering ' , 'housing ' , 'health ' , 'cost ' , 'of ' , 'living ' , 'crisis ' , 'need ' , 'more ' , 'than ' , 'the ' , 'words ' , 'now ' ]"
"['what', 'housing', 'crisis', 'like', 'how', 'does', 'this', 'not', 'seem', 'completely', 'deranged', 'to', 'people', 'darraghobrientd', 'shall', 'we', 'mention', 'the', '1', 'billion', 'euro', 'underspend']","[ 'what ' , 'housing ' , 'crisis ' , 'like ' , 'how ' , 'does ' , 'this ' , 'not ' , 'seem ' , 'completely ' , 'deranged ' , 'to ' , 'people ' , 'darraghobrientd ' , 'shall ' , 'we ' , 'mention ' , 'the ' , ' 1 ' , 'billion ' , 'euro ' , 'underspend ' ]"
"['why', 'is', 'ireland', 'with', 'more', 'of', 'an', 'undersupply', 'per', 'person', 'than', 'spain', 'and', 'with', 'more', 'cash', 'in', 'banks', 'not', 'setting', 'up', 'a', 'bank', 'to', 'finance', 'affordable', 'housing', 'climate', 'zero', 'energy', 'bills', 'a', 'td', 's', 'councillors', 'ministers', 'civil', 'servants', 'too', 'afraid', 'of', 'the', 'pillar', 'banks', 'that', 'aren', 't', 'lending']","[ 'why ' , 'is ' , 'ireland ' , 'with ' , 'more ' , 'of ' , 'an ' , 'undersupply ' , 'per ' , 'person ' , 'than ' , 'spain ' , 'and ' , 'with ' , 'more ' , 'cash ' , 'in ' , 'banks ' , 'not ' , 'setting ' , 'up ' , ' a ' , 'bank ' , 'to ' , 'finance ' , 'affordable ' , 'housing ' , 'climate ' , 'zero ' , 'energy ' , 'bills ' , ' a ' , 'td ' , 's ' , 'councillors ' , 'ministers ' , 'civil ' , 'servants ' , 'too ' , 'afraid ' , 'of ' , 'the ' , 'pillar ' , 'banks ' , 'that ' , 'aren ' , 't ' , 'lending ' ]"
"['mortgage', 'market', 'showing', 'signs', 'of', 'return', 'to', 'normality', 'mark', 'crawford', 'of', 'mortgage', 'advisers', 'crawford', 'mulholland', 'financial', 'believes', 'the', 'housing', 'market', 'here', 'is', 'now', 'shaking', 'off', 'the', 'impact', 'of', 'last', 'year', 's', 'disastrous', 'mini', 'budget', 'watch', 'or', 'read', 'more']","[ 'mortgage ' , 'market ' , 'showing ' , 'signs ' , 'of ' , 'return ' , 'to ' , 'normality ' , 'mark ' , 'crawford ' , 'of ' , 'mortgage ' , 'advisers ' , 'crawford ' , 'mulholland ' , 'financial ' , 'believes ' , 'the ' , 'housing ' , 'market ' , 'here ' , 'is ' , 'now ' , 'shaking ' , 'off ' , 'the ' , 'impact ' , 'of ' , 'last ' , 'year ' , 's ' , 'disastrous ' , 'mini ' , 'budget ' , 'watch ' , 'or ' , 'read ' , 'more ' ]"
"['it', 'is', 'unacceptable', 'that', 'anyone', 'should', 'have', 'to', 'sleep', 'rough', 'we', 'must', 'do', 'better', 'to', 'provide', 'housing', 'and', 'support', 'to', 'those', 'in', 'need', 'and', 'the', 'dublin', 'simon', 'outreach', 'team', 'will', 'continue', 'to', 'work', 'tirelessly', 'until', 'nobody', 'has', 'to', 'sleep', 'on', 'our', 'streets', 'homelessness']","[ 'it ' , 'is ' , 'unacceptable ' , 'that ' , 'anyone ' , 'should ' , 'have ' , 'to ' , 'sleep ' , 'rough ' , 'we ' , 'must ' , 'do ' , 'better ' , 'to ' , 'provide ' , 'housing ' , 'and ' , 'support ' , 'to ' , 'those ' , 'in ' , 'need ' , 'and ' , 'the ' , 'dublin ' , 'simon ' , 'outreach ' , 'team ' , 'will ' , 'continue ' , 'to ' , 'work ' , 'tirelessly ' , 'until ' , 'nobody ' , 'has ' , 'to ' , 'sleep ' , 'on ' , 'our ' , 'streets ' , 'homelessness ' ]"
"['information', 'for', 'tenants', 'in', 'limerick', 'who', 'receive', 'a', 'notice', 'to', 'quit', 'anybody', 'who', 'has', 'received', 'a', 'notice', 'to', 'quit', 'and', 'who', 'has', 'no', 'alternative', 'accommodation', 'is', 'urged', 'to', 'contact', 'limerick', 'city', 'and', 'county', 'council', 'read', 'more']","[ 'information ' , 'for ' , 'tenants ' , 'in ' , 'limerick ' , 'who ' , 'receive ' , ' a ' , 'notice ' , 'to ' , 'quit ' , 'anybody ' , 'who ' , 'has ' , 'received ' , ' a ' , 'notice ' , 'to ' , 'quit ' , 'and ' , 'who ' , 'has ' , 'no ' , 'alternative ' , 'accommodation ' , 'is ' , 'urged ' , 'to ' , 'contact ' , 'limerick ' , 'city ' , 'and ' , 'county ' , 'council ' , 'read ' , 'more ' ]"
"['are', 'you', 'a', 'private', 'developer', 'or', 'small', 'builder', 'our', 'turnkey', 'acquisition', 'campaign', 'could', 'kick', 'start', 'your', 'development', 'expressions', 'of', 'interest', 'invited', 'at', 'by', '30th', 'june', '2023', 'enquiries', 'to', '061', '557028', 'or', 'email', 'turnkey', 'limerick', 'ie']","[ 'are ' , 'you ' , ' a ' , 'private ' , 'developer ' , 'or ' , 'small ' , 'builder ' , 'our ' , 'turnkey ' , 'acquisition ' , 'campaign ' , 'could ' , 'kick ' , 'start ' , 'your ' , 'development ' , 'expressions ' , 'of ' , 'interest ' , 'invited ' , 'at ' , 'by ' , '30th ' , 'june ' , '2023 ' , 'enquiries ' , 'to ' , '061 ' , '557028 ' , 'or ' , 'email ' , 'turnkey ' , 'limerick ' , 'ie ' ]"
"['over', '10', '000', 'social', 'homes', 'delivered', 'in', '2022', 'with', '43', 'increase', 'in', 'new', 'build', 'social', 'homes', 'read', 'more', 'here', 'social', 'housing', 'housingforall', 'ireland', 'darraghobrientd', 'depthousingirl']","[ 'over ' , '10 ' , '000 ' , 'social ' , 'homes ' , 'delivered ' , 'in ' , '2022 ' , 'with ' , '43 ' , 'increase ' , 'in ' , 'new ' , 'build ' , 'social ' , 'homes ' , 'read ' , 'more ' , 'here ' , 'social ' , 'housing ' , 'housingforall ' , 'ireland ' , 'darraghobrientd ' , 'depthousingirl ' ]"
"['listening', 'to', 'rtenewsatone', 'and', 'weve', 'got', 'a', 'surplus', 'of', '8', 'billion', 'quid', 'housing', 'figures', 'are', 'dire', 'cuh', 'are', 'under', 'savage', 'pressure', 'and', 'weve', '8bn', 'unallocated', 'and', 'projected', '10bn', 'next', 'year']","[ 'listening ' , 'to ' , 'rtenewsatone ' , 'and ' , 'weve ' , 'got ' , ' a ' , 'surplus ' , 'of ' , ' 8 ' , 'billion ' , 'quid ' , 'housing ' , 'figures ' , 'are ' , 'dire ' , 'cuh ' , 'are ' , 'under ' , 'savage ' , 'pressure ' , 'and ' , 'weve ' , '8bn ' , 'unallocated ' , 'and ' , 'projected ' , '10bn ' , 'next ' , 'year ' ]"
"['oireachtastv', 'watch', 'live', 'as', 'the', 'joint', 'committee', 'on', 'housing', 'local', 'government', 'and', 'heritage', 'meets', 'for', 'engagement', 'with', 'representatives', 'from', 'dochasnetwork', 'goal', 'global', 'cbm', 'global', 'to', 'discuss', 'the', 'sustainable', 'development', 'goals', 'seeforyourself']","[ 'oireachtastv ' , 'watch ' , 'live ' , 'as ' , 'the ' , 'joint ' , 'committee ' , 'on ' , 'housing ' , 'local ' , 'government ' , 'and ' , 'heritage ' , 'meets ' , 'for ' , 'engagement ' , 'with ' , 'representatives ' , 'from ' , 'dochasnetwork ' , 'goal ' , 'global ' , 'cbm ' , 'global ' , 'to ' , 'discuss ' , 'the ' , 'sustainable ' , 'development ' , 'goals ' , 'seeforyourself ' ]"
"['this', 'is', 'just', 'too', 'rich']","[ 'this ' , 'is ' , 'just ' , 'too ' , 'rich ' ]"
"['while', 'everyone', 'would', 'like', 'things', 'to', 'be', 'going', 'even', 'faster', 'there', 'is', 'now', 'no', 'doubt', 'but', 'that', 'significant', 'progress', 'is', 'being', 'made', 're', 'new', 'housing', 'the', 'stats', 'here', 'are', 'excellent', 'delivery', 'of', 'housing', 'will', 'only', 'strengthen', 'from', '2023', 'onward', 'officials', 'claim']","[ 'while ' , 'everyone ' , 'would ' , 'like ' , 'things ' , 'to ' , 'be ' , 'going ' , 'even ' , 'faster ' , 'there ' , 'is ' , 'now ' , 'no ' , 'doubt ' , 'but ' , 'that ' , 'significant ' , 'progress ' , 'is ' , 'being ' , 'made ' , 're ' , 'new ' , 'housing ' , 'the ' , 'stats ' , 'here ' , 'are ' , 'excellent ' , 'delivery ' , 'of ' , 'housing ' , 'will ' , 'only ' , 'strengthen ' , 'from ' , '2023 ' , 'onward ' , 'officials ' , 'claim ' ]"
"['wheredowego', 'a', 'family', 'who', 'faced', 'an', 'illegal', '50', 'rent', 'hike', 'did', 'extra', 'work', 'to', 'meet', 'the', 'rent', 'increase', 'now', 'they', 'find', 'themselves', 'over', 'the', 'limit', 'for', 'housing', 'supports', 'are', 'facing', 'homelessness', 'after', 'the', 'landlord', 'wants', 'the', 'home', 'back', 'do', 'you', 'agree', 'taoiseach', 'that', 'you', 'need', 'to']","[ 'wheredowego ' , ' a ' , 'family ' , 'who ' , 'faced ' , 'an ' , 'illegal ' , '50 ' , 'rent ' , 'hike ' , 'did ' , 'extra ' , 'work ' , 'to ' , 'meet ' , 'the ' , 'rent ' , 'increase ' , 'now ' , 'they ' , 'find ' , 'themselves ' , 'over ' , 'the ' , 'limit ' , 'for ' , 'housing ' , 'supports ' , 'are ' , 'facing ' , 'homelessness ' , 'after ' , 'the ' , 'landlord ' , 'wants ' , 'the ' , 'home ' , 'back ' , 'do ' , 'you ' , 'agree ' , 'taoiseach ' , 'that ' , 'you ' , 'need ' , 'to ' ]"
"['taoiseach', 'accused', 'of', 'being', 'smug', 'as', 'labour', 'ivanabacik', 'and', 'finegael', 'trade', 'blows', 'on', 'housing', 'record']","[ 'taoiseach ' , 'accused ' , 'of ' , 'being ' , 'smug ' , 'as ' , 'labour ' , 'ivanabacik ' , 'and ' , 'finegael ' , 'trade ' , 'blows ' , 'on ' , 'housing ' , 'record ' ]"
"['if', 'i', 'were', 'the', 'government', 'i', 'would', 'order', '50', '000', 'demountable', 'modular', 'shippable', 'one', 'person', 'housing', 'units', 'from', 'the', 'far', 'east', 'for', 'delivery', 'in', '2024', 'and', 'place', 'on', 'vacant', 'urban', 'sites', 'which', 'have', 'been', 'identified', 'this', 'can', 'take', 'the', 'heat', 'out', 'of', 'the', 'housing', 'crisis', 'fast']","[ 'if ' , ' i ' , 'were ' , 'the ' , 'government ' , ' i ' , 'would ' , 'order ' , '50 ' , '000 ' , 'demountable ' , 'modular ' , 'shippable ' , 'one ' , 'person ' , 'housing ' , 'units ' , 'from ' , 'the ' , 'far ' , 'east ' , 'for ' , 'delivery ' , 'in ' , '2024 ' , 'and ' , 'place ' , 'on ' , 'vacant ' , 'urban ' , 'sites ' , 'which ' , 'have ' , 'been ' , 'identified ' , 'this ' , 'can ' , 'take ' , 'the ' , 'heat ' , 'out ' , 'of ' , 'the ' , 'housing ' , 'crisis ' , 'fast ' ]"
"['fine', 'gael', 'has', 'led', 'every', 'government', 'since', '2011', 'its', 'policies', 'are', 'a', 'key', 'contributor', 'to', 'the', 'dearth', 'of', 'public', 'housing', 'finegael', 'rtenews', 'irishtimes', 'independent', 'ie', 'irishexaminer', 'thejournal', 'ie', 'leovaradkar', 'michealmartintd', 'eamonryan', 'maryloumcdonald', 'hollycairnstd', 'ivanabacik']","[ 'fine ' , 'gael ' , 'has ' , 'led ' , 'every ' , 'government ' , 'since ' , '2011 ' , 'its ' , 'policies ' , 'are ' , ' a ' , 'key ' , 'contributor ' , 'to ' , 'the ' , 'dearth ' , 'of ' , 'public ' , 'housing ' , 'finegael ' , 'rtenews ' , 'irishtimes ' , 'independent ' , 'ie ' , 'irishexaminer ' , 'thejournal ' , 'ie ' , 'leovaradkar ' , 'michealmartintd ' , 'eamonryan ' , 'maryloumcdonald ' , 'hollycairnstd ' , 'ivanabacik ' ]"
"['the', 'department', 'of', 'housing', 'is', 'scoping', 'out', 'the', 'creation', 'of', 'the', 'first', 'price', 'register', 'of', 'land', 'sold', 'in', 'ireland', 'alongside', 'the', 'rollout', 'of', 'the', 'new', 'land', 'value', 'sharing', 'rules']","[ 'the ' , 'department ' , 'of ' , 'housing ' , 'is ' , 'scoping ' , 'out ' , 'the ' , 'creation ' , 'of ' , 'the ' , 'first ' , 'price ' , 'register ' , 'of ' , 'land ' , 'sold ' , 'in ' , 'ireland ' , 'alongside ' , 'the ' , 'rollout ' , 'of ' , 'the ' , 'new ' , 'land ' , 'value ' , 'sharing ' , 'rules ' ]"
"['a', 'new', 'low', 'in', 'the', 'response', 'to', 'me', 'from', 'the', 'taoiseach', 'today', 'in', 'our', 'debate', 'on', 'the', 'housingcrisis']","[ ' a ' , 'new ' , 'low ' , 'in ' , 'the ' , 'response ' , 'to ' , 'me ' , 'from ' , 'the ' , 'taoiseach ' , 'today ' , 'in ' , 'our ' , 'debate ' , 'on ' , 'the ' , 'housingcrisis ' ]"
"['from', 'the', 'dept', 'of', 'finance', 'that', 'said', 'wtf', 'to', '4bn', 'being', 'spent', 'on', 'affordable', 'social', 'homes', 'and', 'those', 'that', 'tie', 'up', 'housing', 'non', 'delivery', 'you', 'can', 'bet', 'the', 'same', 'finance', 'hawks', 'will', 'most', 'definitely', 'be', 'waffling', 'about', 'risks', 'not', 'increasing', 'supply', 'to', 'increase', 'trade', 'all', 'with', 'homes']","[ 'from ' , 'the ' , 'dept ' , 'of ' , 'finance ' , 'that ' , 'said ' , 'wtf ' , 'to ' , '4bn ' , 'being ' , 'spent ' , 'on ' , 'affordable ' , 'social ' , 'homes ' , 'and ' , 'those ' , 'that ' , 'tie ' , 'up ' , 'housing ' , 'non ' , 'delivery ' , 'you ' , 'can ' , 'bet ' , 'the ' , 'same ' , 'finance ' , 'hawks ' , 'will ' , 'most ' , 'definitely ' , 'be ' , 'waffling ' , 'about ' , 'risks ' , 'not ' , 'increasing ' , 'supply ' , 'to ' , 'increase ' , 'trade ' , 'all ' , 'with ' , 'homes ' ]"
"['opposition', 'tds', 'questioned', 'the', 'dubious', 'release', 'of', 'new', 'social', 'housing', 'figures', 'when', 'attention', 'was', 'focused', 'on', 'the', 'regency', 'hotel', 'murder', 'trial', 'it', 'was', 'reveled', 'yesterday', 'that', '7', '433', 'new', 'social', 'homes', 'were', 'built', 'last', 'year', '500', 'short', 'of', '2022', 'targets']","[ 'opposition ' , 'tds ' , 'questioned ' , 'the ' , 'dubious ' , 'release ' , 'of ' , 'new ' , 'social ' , 'housing ' , 'figures ' , 'when ' , 'attention ' , 'was ' , 'focused ' , 'on ' , 'the ' , 'regency ' , 'hotel ' , 'murder ' , 'trial ' , 'it ' , 'was ' , 'reveled ' , 'yesterday ' , 'that ' , ' 7 ' , '433 ' , 'new ' , 'social ' , 'homes ' , 'were ' , 'built ' , 'last ' , 'year ' , '500 ' , 'short ' , 'of ' , '2022 ' , 'targets ' ]"
"['sinn', 'f', 'in', 'says', 'governments', 'housing', 'plan', 'in', 'crisis', 'via', 'rte']","[ 'sinn ' , ' f ' , 'in ' , 'says ' , 'governments ' , 'housing ' , 'plan ' , 'in ' , 'crisis ' , 'via ' , 'rte ' ]"
"['taoiseach', 'leo', 'varadkar', 'and', 'labour', 'leader', 'ivana', 'bacik', 'went', 'head', 'to', 'head', 'in', 'the', 'd', 'il', 'as', 'ms', 'bacik', 'criticised', 'the', 'governments', 'social', 'and', 'affordable', 'housing', 'delivery', 'in', '2022']","[ 'taoiseach ' , 'leo ' , 'varadkar ' , 'and ' , 'labour ' , 'leader ' , 'ivana ' , 'bacik ' , 'went ' , 'head ' , 'to ' , 'head ' , 'in ' , 'the ' , 'd ' , 'il ' , 'as ' , 'ms ' , 'bacik ' , 'criticised ' , 'the ' , 'governments ' , 'social ' , 'and ' , 'affordable ' , 'housing ' , 'delivery ' , 'in ' , '2022 ' ]"
"['your', 'housing', 'policy', 'is', 'in', 'rag', 'order', 'taoiseach']","[ 'your ' , 'housing ' , 'policy ' , 'is ' , 'in ' , 'rag ' , 'order ' , 'taoiseach ' ]"
"['el', 'pais', 'is', 'reporting', 'today', 'that', 'this', 'plan', 'will', 'depend', 'on', 'the', 'co', 'operation', 'of', 'the', 'regions', 'and', 'municipalities', 'but', 'at', 'least', 'the', 'socialist', 'government', 'is', 'trying', 'to', 'meet', 'housing', 'need', 'among', 'young', 'people', 'whereas', 'the', 'irish', 'governments', 'inertia', 'leaves', 'them', 'prey', 'to', 'sinn', 'feins', 'populism']","[ 'el ' , 'pais ' , 'is ' , 'reporting ' , 'today ' , 'that ' , 'this ' , 'plan ' , 'will ' , 'depend ' , 'on ' , 'the ' , 'co ' , 'operation ' , 'of ' , 'the ' , 'regions ' , 'and ' , 'municipalities ' , 'but ' , 'at ' , 'least ' , 'the ' , 'socialist ' , 'government ' , 'is ' , 'trying ' , 'to ' , 'meet ' , 'housing ' , 'need ' , 'among ' , 'young ' , 'people ' , 'whereas ' , 'the ' , 'irish ' , 'governments ' , 'inertia ' , 'leaves ' , 'them ' , 'prey ' , 'to ' , 'sinn ' , 'feins ' , 'populism ' ]"
"['fg', 'fighting', 'over', 'which', 'government', 'has', 'a', 'more', 'disastrous', 'record', 'on', 'housing', 'the', 'one', 'they', 'led', 'with', 'labour', 'that', 'invited', 'the', 'vulture', 'funds', 'into', 'ireland', 'or', 'the', 'one', 'theyre', 'currently', 'leading', 'that', 'has', 'caused', 'record', 'homelessness']","[ 'fg ' , 'fighting ' , 'over ' , 'which ' , 'government ' , 'has ' , ' a ' , 'more ' , 'disastrous ' , 'record ' , 'on ' , 'housing ' , 'the ' , 'one ' , 'they ' , 'led ' , 'with ' , 'labour ' , 'that ' , 'invited ' , 'the ' , 'vulture ' , 'funds ' , 'into ' , 'ireland ' , 'or ' , 'the ' , 'one ' , 'theyre ' , 'currently ' , 'leading ' , 'that ' , 'has ' , 'caused ' , 'record ' , 'homelessness ' ]"
"['great', 'to', 'visit', 'anam', 'cara', 'in', 'glasnevin', 'today', 'this', 'development', 'operated', 'by', 'fold', 'housing', 'is', 'housing', 'with', 'associated', 'support', 'services', 'for', 'older', 'people', 'and', 'people', 'with', 'dementia', 'day', 'care', 'services', 'and', 'the', 'local', 'community', 'intervention', 'team', 'are', 'also', 'on', 'site']","[ 'great ' , 'to ' , 'visit ' , 'anam ' , 'cara ' , 'in ' , 'glasnevin ' , 'today ' , 'this ' , 'development ' , 'operated ' , 'by ' , 'fold ' , 'housing ' , 'is ' , 'housing ' , 'with ' , 'associated ' , 'support ' , 'services ' , 'for ' , 'older ' , 'people ' , 'and ' , 'people ' , 'with ' , 'dementia ' , 'day ' , 'care ' , 'services ' , 'and ' , 'the ' , 'local ' , 'community ' , 'intervention ' , 'team ' , 'are ' , 'also ' , 'on ' , 'site ' ]"
"['we', 'are', 'a', 'very', 'wealthy', 'county', 'and', 'we', 'now', 'need', 'a', 'strong', 'enabling', 'state', 'that', 'focuses', 'on', 'supporting', 'and', 'driving', 'services', 'and', 'housing', 'for', 'all', 'exchequer', 'surplus', 'set', 'to', 'reach', '16', '2', 'billion', 'next', 'year', 'via', 'rtenews']","[ 'we ' , 'are ' , ' a ' , 'very ' , 'wealthy ' , 'county ' , 'and ' , 'we ' , 'now ' , 'need ' , ' a ' , 'strong ' , 'enabling ' , 'state ' , 'that ' , 'focuses ' , 'on ' , 'supporting ' , 'and ' , 'driving ' , 'services ' , 'and ' , 'housing ' , 'for ' , 'all ' , 'exchequer ' , 'surplus ' , 'set ' , 'to ' , 'reach ' , '16 ' , ' 2 ' , 'billion ' , 'next ' , 'year ' , 'via ' , 'rtenews ' ]"
"['government', 'criticised', 'for', 'lack', 'of', 'ambition', 'on', 'housing', 'targets']","[ 'government ' , 'criticised ' , 'for ' , 'lack ' , 'of ' , 'ambition ' , 'on ' , 'housing ' , 'targets ' ]"
